,id,code_id_1,code_id_2,label
1666,1666,1408,1629,0
510,510,306,525,0
2164,2164,1931,1946,0
2309,2309,2001,2092,0
2687,2687,2162,2491,0
2800,2800,2179,2604,0
3090,3090,2790,2900,0
2232,2232,2001,2015,0
953,953,312,969,0
2276,2276,2001,2059,0
944,944,312,960,0
3173,3173,2792,2983,0
3229,3229,2792,3039,0
1163,1163,1068,1180,1
3259,3259,2790,3069,0
468,468,306,483,1
1973,1973,1408,1809,0
931,931,322,947,0
1169,1169,1068,1186,1
2541,2541,2139,2345,0
1741,1741,1408,1679,0
673,673,303,689,0
213,213,199,219,0
888,888,306,904,0
211,211,199,217,0
1767,1767,1408,1425,0
869,869,303,885,1
2339,2339,2001,2122,0
713,713,312,729,0
1957,1957,1408,1785,0
1925,1925,1408,1773,0
730,730,306,746,0
2919,2919,2669,2726,0
1109,1109,1068,1126,1
1191,1191,1068,1208,1
1624,1624,1408,1547,0
1452,1452,1408,1467,1
3288,3288,2790,3098,0
1763,1763,1408,1692,0
2285,2285,2001,2068,0
647,647,303,663,0
820,820,308,836,0
1077,1077,1068,1094,1
653,653,312,669,0
2829,2829,2139,2633,0
1550,1550,1408,1436,1
1835,1835,1408,1481,0
2400,2400,2139,2200,0
407,407,312,421,0
36,36,0,38,1
870,870,312,886,0
155,155,109,159,1
1477,1477,1408,1490,0
539,539,312,555,1
2893,2893,2669,2700,0
3128,3128,2792,2938,1
2460,2460,2150,2264,0
2859,2859,2659,2665,1
2802,2802,2212,2606,0
886,886,312,902,0
2221,2221,2001,2004,0
3168,3168,2792,2978,1
2247,2247,2001,2030,0
908,908,303,924,0
873,873,306,889,0
709,709,306,725,0
491,491,306,506,0
107,107,109,111,0
644,644,306,660,1
1301,1301,1212,1317,0
3218,3218,2792,3028,0
1201,1201,1212,1219,0
729,729,355,745,0
540,540,322,556,0
2646,2646,2168,2450,0
2326,2326,2001,2109,0
355,355,312,368,0
1636,1636,1408,1610,1
3267,3267,2790,3077,0
2501,2501,2232,2305,0
1915,1915,1408,1576,0
1243,1243,1212,1262,0
1963,1963,1408,1803,0
3253,3253,2792,3063,0
1996,1996,1408,1823,0
2968,2968,2669,2775,1
346,346,306,359,0
274,274,199,280,0
918,918,303,934,1
3153,3153,2792,2963,0
2747,2747,2162,2551,0
2160,2160,1931,1942,0
2140,2140,1884,1920,1
461,461,322,476,0
520,520,303,535,0
1128,1128,1068,1145,1
2027,2027,1408,1818,0
1286,1286,1212,1304,1
779,779,312,795,1
1228,1228,1212,1246,1
3242,3242,2792,3052,0
2054,2054,1408,1478,0
1919,1919,1408,1784,0
2030,2030,1408,1679,0
1914,1914,1408,1780,0
1313,1313,1212,1329,0
2937,2937,2669,2744,0
2336,2336,2001,2119,1
1786,1786,1408,1708,0
2657,2657,2162,2461,0
626,626,312,642,0
2024,2024,1408,1840,0
2949,2949,2669,2756,0
1075,1075,1068,1092,1
2013,2013,1408,1834,0
1045,1045,306,1061,0
2317,2317,2001,2100,0
3122,3122,2792,2932,0
3243,3243,2792,3053,0
317,317,303,329,0
1494,1494,1408,1504,0
2732,2732,2139,2536,0
1358,1358,1212,1372,0
2353,2353,2137,2138,0
561,561,312,577,0
1133,1133,1068,1150,1
697,697,312,713,0
449,449,303,464,0
1675,1675,1408,1636,0
2393,2393,2160,2191,0
149,149,109,153,1
736,736,312,752,0
2983,2983,2790,2791,0
1322,1322,1212,1338,0
1631,1631,1408,1606,0
2929,2929,2669,2736,0
968,968,312,984,0
1867,1867,1408,1760,0
361,361,322,374,1
2114,2114,1884,1894,1
920,920,306,936,0
1774,1774,1408,1541,0
1649,1649,1408,1617,0
132,132,109,136,0
363,363,303,376,0
1674,1674,1408,1635,0
985,985,303,1001,0
2120,2120,1884,1900,1
3138,3138,2792,2948,0
2863,2863,2669,2670,0
1771,1771,1408,1588,0
1407,1407,1408,1423,0
425,425,306,440,0
841,841,322,857,0
1958,1958,1408,1703,0
1520,1520,1408,1417,0
1814,1814,1408,1727,0
