Mutation Operators,LLM-based,ML-based,Tree-based NN,Compiler-based
AOIS,92.11956521739131 (339/368),76.08695652173914 (280/368),65.48913043478261 (241/368),83.96739130434783 (309/368)
ROR,91.27906976744185 (314/344),85.75581395348837 (295/344),79.36046511627907 (273/344),59.30232558139535 (204/344)
AORB,95.03311258278146 (287/302),90.72847682119205 (274/302),86.75496688741721 (262/302),66.88741721854305 (202/302)
VDL,92.65536723163842 (164/177),89.83050847457628 (159/177),90.96045197740112 (161/177),51.41242937853108 (91/177)
ROD,92.3076923076923 (156/169),89.3491124260355 (151/169),90.53254437869822 (153/169),56.213017751479285 (95/169)
AOIU,96.15384615384616 (100/104),96.15384615384616 (100/104),92.3076923076923 (96/104),55.769230769230774 (58/104)
LOI,100.0 (103/103),100.0 (103/103),91.2621359223301 (94/103),100.0 (103/103)
CDL,90.0 (90/100),88.0 (88/100),87.0 (87/100),52.0 (52/100)
CR,96.82539682539682 (61/63),96.82539682539682 (61/63),93.65079365079364 (59/63),31.746031746031743 (20/63)
SEOD,84.0 (42/50),84.0 (42/50),82.0 (41/50),74.0 (37/50)
SEOI,100.0 (37/37),100.0 (37/37),94.5945945945946 (35/37),100.0 (37/37)
ADL,100.0 (34/34),100.0 (34/34),94.11764705882352 (32/34),91.17647058823529 (31/34)
ISDL,100.0 (20/20),95.0 (19/20),85.0 (17/20),100.0 (20/20)
COR,68.42105263157895 (13/19),73.68421052631578 (14/19),63.1578947368421 (12/19),57.89473684210527 (11/19)
FCDL,94.73684210526315 (18/19),94.73684210526315 (18/19),89.47368421052632 (17/19),26.31578947368421 (5/19)
SEOR,100.0 (15/15),100.0 (15/15),100.0 (15/15),80.0 (12/15)
AODU,80.0 (8/10),80.0 (8/10),80.0 (8/10),40.0 (4/10)
AORS,100.0 (9/9),100.0 (9/9),88.88888888888889 (8/9),100.0 (9/9)
ABSI,100.0 (9/9),44.44444444444444 (4/9),22.22222222222222 (2/9),0.0 (0/9)
SAR,100.0 (8/8),100.0 (8/8),87.5 (7/8),100.0 (8/8)
WLDL,100.0 (6/6),100.0 (6/6),83.33333333333334 (5/6),100.0 (6/6)
LOR,100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4)
OSDL,100.0 (4/4),100.0 (4/4),75.0 (3/4),100.0 (4/4)
FLDL,100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4)
AODS,100.0 (3/3),100.0 (3/3),100.0 (3/3),100.0 (3/3)
LVR,100.0 (3/3),66.66666666666666 (2/3),100.0 (3/3),66.66666666666666 (2/3)
SOR,100.0 (2/2),100.0 (2/2),100.0 (2/2),100.0 (2/2)
ORU,100.0 (1/1),100.0 (1/1),100.0 (1/1),100.0 (1/1)
